;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms/sqrt(n_points)
     0         1.1299      -67.3071     0.0265
     1         1.9483      -60.8285     0.0379
     2         1.7602      -29.0428     0.0158
     3         2.8683      -58.8500     0.0173
     4         0.0000        0.0000     0.0000
     5         2.5753      -18.5840     0.0313
     6         3.7961      -58.4078     0.0256
     7         3.4479      -44.9039     0.0295
     8         0.0000        0.0000     0.0000
     9         3.4920      -12.3144     0.0210
    10         4.7470      -57.7233     0.0270
    11         4.3748      -46.8699     0.0253
    12         4.1754      -34.3163     0.0147
    13         4.1941      -21.3927     0.0253
    14         4.4438       -9.2601     0.0348
    15         5.6610      -56.7913     0.0269
    16         5.2962      -48.1136     0.0283
    17         5.0635      -38.2256     0.0266
    18         5.0104      -27.3849     0.0304
    19         5.1190      -16.8746     0.0388
    20         5.4078       -6.9244     0.0288
    21         0.0000        0.0000     0.0000
    22         5.8519      -22.6961     0.0438
    23         0.0000        0.0000     0.0000
    24         1.0472     -121.7066     0.0168
    25         2.0186     -120.0254     0.0163
    26         1.7401      -90.2352     0.0183
    27         0.0000        0.0000     0.0000
    28         2.6053     -101.0151     0.0165
    29         2.5594      -78.8875     0.0223
    30         3.8573     -119.4208     0.0283
    31         3.4637     -105.6824     0.0269
    32         3.3156      -89.3740     0.0227
    33         3.4366      -72.8217     0.0199
    34         4.7747     -119.9391     0.0336
    35         0.0000        0.0000     0.0000
    36         4.1557      -95.8528     0.0384
    37         4.1404      -81.9378     0.0320
    38         4.3788      -69.6255     0.0449
    39         5.7673     -118.7067     0.0426
    40         5.3195     -109.7028     0.0365
    41         5.0209      -99.3507     0.0343
    42         4.9198      -88.0831     0.0284
    43         4.9816      -76.9097     0.0373
    44         5.2454      -66.5727     0.0302
    45         0.0000        0.0000     0.0000
    46         5.7259      -82.9116     0.0320
    47         5.8552      -73.1685     0.0314
    48         1.0378      179.4335     0.0210
    49         1.9860     -179.9021     0.0146
    50         1.7688     -150.2271     0.0221
    51         2.8868     -179.9276     0.0235
    52         2.5879     -160.4760     0.0225
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         3.4885     -165.9185     0.0253
    56         0.0000        0.0000     0.0000
    57         3.4921     -133.3400     0.0291
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         4.2174     -142.9213     0.0310
    62         4.4265     -130.0623     0.0310
    63         0.0000        0.0000     0.0000
    64         5.3496     -171.0772     0.0323
    65         5.0904     -160.4978     0.0380
    66         5.0218     -149.4395     0.0384
    67         5.1003     -138.3524     0.0369
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         5.8856     -144.5484     0.0414
    71         0.0000        0.0000     0.0000
    72         0.9986      120.4088     0.0184
    73         1.9470      118.6529     0.0153
    74         1.7102      149.8275     0.0172
    75         2.8734      118.8358     0.0198
    76         2.5438      138.8455     0.0245
    77         2.5578      160.2949     0.0219
    78         3.8050      117.9750     0.0201
    79         3.4319      132.4840     0.0244
    80         3.3060      149.1442     0.0209
    81         0.0000        0.0000     0.0000
    82         4.7840      117.1162     0.0280
    83         4.3753      128.7780     0.0236
    84         4.1537      142.2286     0.0241
    85         4.1502      155.4217     0.0293
    86         4.3647      168.3835     0.0286
    87         5.7665      116.6304     0.0351
    88         5.3203      126.2972     0.0320
    89         5.0537      137.0798     0.0320
    90         4.9491      148.2403     0.0388
    91         5.0411      159.5228     0.0366
    92         5.3388      170.0667     0.0357
    93         0.0000        0.0000     0.0000
    94         5.8213      152.8490     0.0396
    95         5.9601      162.2504     0.0448
    96         1.0140       61.2946     0.0109
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.5656       77.5144     0.0240
   101         2.5478       98.8981     0.0158
   102         3.9119       58.5010     0.0259
   103         3.5123       71.5155     0.0264
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.9204       58.0370     0.0363
   107         0.0000        0.0000     0.0000
   108         4.2381       80.7497     0.0323
   109         4.2185       93.3541     0.0279
   110         4.3801      106.1535     0.0267
   111         0.0000        0.0000     0.0000
   112         0.0000        0.0000     0.0000
   113         5.1712       75.9135     0.0340
   114         5.0501       86.7021     0.0358
   115         4.5540       95.0973     0.0355
   116         5.3587      107.6140     0.0370
   117         0.0000        0.0000     0.0000
   118         5.8832       90.9929     0.0442
   119         6.0217       99.9789     0.0469
   120         1.0707        4.2773     0.0321
   121         1.9731        0.8325     0.0146
   122         1.7333       29.8801     0.0144
   123         2.9163        0.6570     0.0317
   124         2.6033       19.5665     0.0216
   125         2.5840       40.7132     0.0222
   126         3.8944        1.2110     0.0261
   127         3.5230       14.5698     0.0224
   128         3.4060       29.6102     0.0306
   129         3.5412       45.1314     0.0259
   130         4.8733        1.1922     0.0369
   131         4.4883       11.6621     0.0362
   132         4.2682       23.7181     0.0331
   133         4.2719       36.0865     0.0347
   134         4.5245       47.5838     0.0359
   135         5.8720        1.9317     0.0471
   136         5.4398       10.0312     0.0388
   137         5.1942       19.5077     0.0420
   138         5.1235       29.8559     0.0403
   139         5.2274       40.1059     0.0365
   140         5.5225       49.2120     0.0462
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         6.2318       42.5183     0.0529
