;Y-INTERCEPT AND SLOPE OF SCANS_OFFSET VS. UT TIME
;
;date    min_obs    max_obs     intercept    sigma_int      slope       sigma_slo     chisq      n_obs    chisq/DOF
 61113      0        1000        12.5271       0.8980       -5.2947        0.0720      0.6066      16      0.0379
 61114      0        1000        55.4676       0.6177       -5.0700        0.0521     81.0810      62      1.3078
 61115      0        1000        45.7723       1.0477       -5.0807        0.0962    182.5414      55      3.3189
 61116      0        1000        -1.9853       0.2732       -5.0554        0.0237     18.6570      63      0.2961
 61117      0        1000       -91.8872       1.1901       -5.0982        0.1069    362.0121      63      5.7462
 61118      0        1000         1.1203       2.3663       -4.8487        0.1849    626.6240      55     11.3932
 61119      0        1000       -14.4934       0.2659       -5.0624        0.0229     25.3846      70      0.3626
 61120      0        1000       -62.9502       2.0254       -5.2450        0.1715    534.7493      55      9.7227
