;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms/sqrt(n_points)
     0         1.0378      -61.3564     0.0142
     1         2.0306      -59.3981     0.0133
     2         1.7523      -29.4479     0.0154
     3         2.9084      -59.0620     0.0165
     4         0.0000        0.0000     0.0000
     5         2.6096      -18.9666     0.0302
     6         3.7538      -58.8885     0.0184
     7         0.0000        0.0000     0.0000
     8         0.0000        0.0000     0.0000
     9         3.5181      -13.4578     0.0331
    10         4.6674      -58.5483     0.0331
    11         4.3069      -47.5440     0.0173
    12         4.1199      -35.2989     0.0168
    13         4.1316      -22.4426     0.0349
    14         4.3790       -9.7479     0.0228
    15         5.5950      -58.1929     0.0141
    16         5.2112      -48.8860     0.0245
    17         4.9424      -39.0660     0.0226
    18         4.8762      -28.1689     0.0220
    19         5.0063      -17.5358     0.0265
    20         5.2721       -8.0461     0.0228
    21         0.0000        0.0000     0.0000
    22         5.7283      -23.6096     0.0212
    23         0.0000        0.0000     0.0000
    24         1.0742     -120.5209     0.0179
    25         2.0202     -121.1965     0.0170
    26         1.7935      -91.5103     0.0172
    27         0.0000        0.0000     0.0000
    28         2.6225     -101.6975     0.0167
    29         2.5878      -79.0763     0.0311
    30         3.8949     -119.5919     0.0260
    31         3.4894     -106.5146     0.0286
    32         3.3191      -89.9276     0.0298
    33         3.4243      -73.1293     0.0160
    34         4.6984     -119.3380     0.0372
    35         4.3355     -108.0551     0.0209
    36         4.1039      -95.9120     0.0192
    37         4.0993      -82.4076     0.0185
    38         4.3241      -69.4597     0.0178
    39         5.6343     -119.0286     0.0265
    40         5.2779     -109.7191     0.0246
    41         4.9721      -99.7329     0.0191
    42         4.8657      -89.0288     0.0166
    43         4.9172      -77.2931     0.0198
    44         5.1757      -66.9365     0.0138
    45         0.0000        0.0000     0.0000
    46         5.6742      -83.6730     0.0208
    47         5.7968      -74.1295     0.0301
    48         1.0697      178.4608     0.0171
    49         2.0591     -179.9152     0.0149
    50         1.7419     -151.0699     0.0240
    51         2.9746     -179.5050     0.0156
    52         2.6685     -159.6801     0.0222
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         3.5118     -165.4419     0.0183
    56         0.0000        0.0000     0.0000
    57         3.5361     -133.3723     0.0222
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         4.1884     -143.3804     0.0283
    62         4.3789     -130.4923     0.0235
    63         0.0000        0.0000     0.0000
    64         5.2909     -170.4162     0.0210
    65         5.0548     -160.3689     0.0286
    66         4.9513     -149.8904     0.0252
    67         5.0439     -138.6928     0.0218
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         5.7892     -144.4193     0.0226
    71         0.0000        0.0000     0.0000
    72         1.0047      117.2600     0.0279
    73         1.9295      119.0397     0.0129
    74         1.7897      149.8600     0.0243
    75         2.8360      118.3219     0.0252
    76         2.5633      138.3157     0.0275
    77         2.5975      160.7155     0.0159
    78         3.7216      118.2298     0.0198
    79         3.3723      132.8762     0.0216
    80         3.2816      149.0899     0.0170
    81         0.0000        0.0000     0.0000
    82         4.6192      117.7143     0.0130
    83         0.0000        0.0000     0.0000
    84         4.0699      142.6107     0.0180
    85         4.0853      156.0940     0.0170
    86         4.3098      168.7145     0.0251
    87         5.5847      116.8720     0.0207
    88         5.1429      126.5343     0.0171
    89         4.8978      137.4361     0.0193
    90         4.8468      148.9253     0.0239
    91         4.9636      160.0192     0.0154
    92         5.2323      171.0086     0.0257
    93         0.0000        0.0000     0.0000
    94         5.6849      153.2416     0.0129
    95         5.8571      162.9738     0.0176
    96         1.0972       57.4371     0.0304
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.5475       76.7207     0.0174
   101         2.5054       98.8982     0.0206
   102         3.8080       56.4679     0.0271
   103         3.4224       70.3074     0.0342
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.7523       56.8491     0.0187
   107         0.0000        0.0000     0.0000
   108         4.0910       79.6191     0.0141
   109         4.0238       93.5647     0.0146
   110         4.2417      105.9157     0.0194
   111         0.0000        0.0000     0.0000
   112         5.2439       63.8930     0.0703
   113         4.9690       75.1195     0.0160
   114         4.8556       86.0842     0.0195
   115         4.3927       95.4646     0.0176
   116         5.1638      107.7079     0.0158
   117         0.0000        0.0000     0.0000
   118         5.7398       90.2828     0.0189
   119         5.8637      100.0462     0.0221
   120         1.0408       -0.4159     0.0158
   121         1.9749        0.9426     0.0261
   122         1.7745       29.0598     0.0341
   123         2.9527       -0.4497     0.0432
   124         0.0000        0.0000     0.0000
   125         2.6228       37.9741     0.0353
   126         3.8871       -0.0792     0.0217
   127         3.5185       13.3623     0.0277
   128         3.3937       28.6662     0.0123
   129         3.4600       43.4954     0.0167
   130         4.7340        0.4405     0.0276
   131         4.3322       10.7475     0.0307
   132         4.1616       22.9610     0.0307
   133         4.1466       34.8818     0.0316
   134         4.3674       46.8922     0.0157
   135         5.7125        0.6762     0.0280
   136         5.3149        8.9518     0.0229
   137         5.0514       18.0497     0.0214
   138         5.0145       28.7621     0.0269
   139         0.0000        0.0000     0.0000
   140         5.2965       48.3398     0.0432
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         6.0359       41.3384     0.0310
